no,raw_tweet,bio_tags,tokens,langs,norm_tokens,clean_tweets
1,@minamin2403 not habits.. tekanan,BIIIIIIIIIIIOBIIOBIIIIIBOOBIIIIII,"['@minamin2403 not habits.. tekanan'
 list(['@minamin2403', 'not', 'habits', '.', 'tekanan'])]","['un', 'en', 'en', 'un', 'id']","['@minamin2403', 'not', 'habits', '.', 'tekanan']","['@minamin2403 bukan kebiasaan. tekanan', '@minamin2403 bukan kebiasaan. tekanan']"
2,"@roycosasa first luv ku di dunia fangirl sih 1D sm 5sos ra trs sblm belok ke wanna one ke austin,shawn,cody gt  aku cuma tau aja sih magcon tp ga ngikutin bgt hehehehe",BIIIIIIIIIOBIIIIOBIIOBIOBIOBIIIIOBIIIIIIOBIIOBIOBIOBIIIOBIOBIIOBIIIOBIIIIOBIOBIIIIOBIIOBIOBIIIIIBBIIIIBBIIIOBIOOBIIOBIIIOBIIOBIIOBIIOBIIIIIOBIOBIOBIIIIIIIOBIIOBIIIIIII,"['@roycosasa first luv ku di dunia fangirl sih 1D sm 5sos ra trs sblm belok ke wanna one ke austin,shawn,cody gt  aku cuma tau aja sih magcon tp ga ngikutin bgt hehehehe'
 list(['@roycosasa', 'first', 'luv', 'ku', 'di', 'dunia', 'fangirl', 'sih', '1D', 'sm', '5sos', 'ra', 'trs', 'sblm', 'belok', 'ke', 'wanna', 'one', 'ke', 'austin', ',', 'shawn', ',', 'cody', 'gt', 'aku', 'cuma', 'tau', 'aja', 'sih', 'magcon', 'tp', 'ga', 'ngikutin', 'bgt', 'hehehehe'])]","['un', 'en', 'en', 'id', 'id', 'id', 'en', 'id', 'un', 'id', 'un', 'un', 'id', 'id', 'id', 'id', 'en', 'en', 'id', 'un', 'un', 'un', 'un', 'un', 'id', 'id', 'id', 'id', 'id', 'id', 'un', 'id', 'id', 'id', 'id', 'un']","['@roycosasa', 'first', 'love', 'ku', 'di', 'dunia', 'fangirl', 'sih', '1d', 'sama', '5sos', 'ra', 'terus', 'sebelum', 'belok', 'ke', 'wanna', 'one', 'ke', 'austin', ',', 'shawn', ',', 'cody', 'begitu', 'aku', 'cuma', 'tahu', 'saja', 'sih', 'magcon', 'tapi', 'tidak', 'mengikuti', 'sangat', 'hehehehe']","['@roycosasa cinta pertama ku di dunia fangirl sih 1D sama 5sos ra terus sebelum belok ke wanna one ke austin,shawn,cody gitu aku cuma tahu saja sih magcon tapi tidak mengikuti sangat hehehehe', '@roycosasa cinta pertama ku di dunia fangirl sih 1D sama 5sos ra terus sebelum belok ke wanna one ke austin,shawn,cody gitu aku cuma tahu saja sih magcon tapi tidak mengikuti sangat hehehehe']"
3,"@caratsmarket handcream jp 110k , photo set carland 30k , tc ideal cut/final scene 20k , ada shopee jg https://t.co/gc2ciTNTWv",BIIIIIIIIIIIIOBIIIIIIIIOBIOBIIIOBOBIIIIOBIIOBIIIIIIOBIIOBOBIOBIIIIOBIIBBIIIIOBIIIIOBIIOBOBIIOBIIIIIOBIOBIIIIIIIIIIIIIIIIIIIIII,"['@caratsmarket handcream jp 110k , photo set carland 30k , tc ideal cut/final scene 20k , ada shopee jg https://t.co/gc2ciTNTWv'
 list(['@caratsmarket', 'handcream', 'jp', '110k', ',', 'photo', 'set', 'carland', '30k', ',', 'tc', 'ideal', 'cut', '/', 'final', 'scene', '20k', ',', 'ada', 'shopee', 'jg', 'https://t.co/gc2ciTNTWv'])]","['un', 'en', 'un', 'un', 'un', 'en', 'id', 'un', 'un', 'un', 'en', 'id', 'en', 'un', 'en', 'en', 'un', 'un', 'id', 'un', 'id', 'un']","['@caratsmarket', 'handcream', 'jp', '110k', ',', 'photo', 'set', 'carland', '30k', ',', 'tc', 'ideal', 'cut', '/', 'final', 'scene', '20k', ',', 'ada', 'shopee', 'juga', 'https://t.co/gc2ciTNTWv']","['@caratsmarket krim tangan jp 110k , set foto carland 30k , potongan ideal / adegan terakhir 20k , ada shopee juga https://t.co/gc2ciTNTWv', '@caratsmarket krim tangan jp 110k , set foto carland 30k , potongan ideal / adegan terakhir 20k , ada shopee juga https://t.co/gc2ciTNTWv']"
4,@arkimo Apa bedanya donut sama doughtnut?,BIIIIIIOBIIOBIIIIIIOBIIIIOBIIIOBIIIIIIIIB,"['@arkimo Apa bedanya donut sama doughtnut?'
 list(['@arkimo', 'Apa', 'bedanya', 'donut', 'sama', 'doughtnut', '?'])]","['un', 'id', 'id', 'id', 'id', 'en', 'un']","['@arkimo', 'apa', 'bedanya', 'donat', 'sama', 'doughnut', '?']","['@arkimo apa bedanya donat sama donat?', '@arkimo apa bedanya donut sama doughnut?']"
5,"@rsyswanto  Baik kkak, akan kami bantu respon via DM namun sebelumnya berkenan follow back kami terlebih dahulu? Guna kami bantu infokann detailnya. Kami tunggu konfirmasi selanjutnya. Trims  -Raina",BIIIIIIIIIOOBIIIOBIIIBOBIIIOBIIIOBIIIIOBIIIIIOBIIOBIOBIIIIOBIIIIIIIIIOBIIIIIIIOBIIIIIOBIIIOBIIIOBIIIIIIIOBIIIIIBOBIIIOBIIIOBIIIIOBIIIIIIIOBIIIIIIIIBOBIIIOBIIIIIOBIIIIIIIIIOBIIIIIIIIIIBOBIIIIOOBBIIII,"['@rsyswanto  Baik kkak, akan kami bantu respon via DM namun sebelumnya berkenan follow back kami terlebih dahulu? Guna kami bantu infokann detailnya. Kami tunggu konfirmasi selanjutnya. Trims  -Raina'
 list(['@rsyswanto', 'Baik', 'kkak', ',', 'akan', 'kami', 'bantu', 'respon', 'via', 'DM', 'namun', 'sebelumnya', 'berkenan', 'follow', 'back', 'kami', 'terlebih', 'dahulu', '?', 'Guna', 'kami', 'bantu', 'infokann', 'detailnya', '.', 'Kami', 'tunggu', 'konfirmasi', 'selanjutnya', '.', 'Trims', '-', 'Raina'])]","['un', 'id', 'id', 'un', 'id', 'id', 'id', 'en', 'id', 'en', 'id', 'id', 'id', 'en', 'en', 'id', 'id', 'id', 'un', 'id', 'id', 'id', 'id', 'id', 'un', 'id', 'id', 'id', 'id', 'un', 'id', 'un', 'un']","['@rsyswanto', 'baik', 'kakak', ',', 'akan', 'kami', 'bantu', 'respond', 'via', 'dm', 'namun', 'sebelumnya', 'berkenan', 'follow', 'back', 'kami', 'terlebih', 'dahulu', '?', 'guna', 'kami', 'bantu', 'infokan', 'detailnya', '.', 'kami', 'tunggu', 'konfirmasi', 'selanjutnya', '.', 'terima kasih', '-', 'raina']","['@rsyswanto baik kakak, akan kami bantu tanggapi via dm namun sebelumnya berkenan ikuti kembali kami terlebih dahulu? guna kami bantu infokan detailnya. kami tunggu konfirmasi selanjutnya. trims  - raina', '@rsyswanto baik kakak, akan kami bantu respon via dm namun sebelumnya berkenan ikuti kembali kami terlebih dahulu? guna kami bantu infokan detailnya. kami tunggu konfirmasi selanjutnya. trims  - raina']"
6,"Penang Food Rocks ! Even in Jakarta ! But the menu not very Penang le ! #penangfood #penang @ Jakarta, Indonesia https://t.co/LUtaWBfkeH",BIIIIIOBIIIOBIIIIOBOBIIIOBIOBIIIIIIOBOBIIOBIIIIIIIOBIIOBIIIOBIIIIIOBIOBOBIIIIIIIIIIOBIIIIIIOBOBIIIIIIBOBIIIIIIIIOBIIIIIIIIIIIIIIIIIIIIII,"['Penang Food Rocks ! Even in Jakarta ! But the menu not very Penang le ! #penangfood #penang @ Jakarta, Indonesia https://t.co/LUtaWBfkeH'
 list(['Penang', 'Food', 'Rocks', '!', 'Even', 'in', 'Jakarta', '!', 'But', 'the menu', 'not', 'very', 'Penang', 'le', '!', '#penangfood', '#penang', '@', 'Jakarta', ',', 'Indonesia', 'https://t.co/LUtaWBfkeH'])]","['un', 'en', 'en', 'un', 'en', 'en', 'un', 'un', 'en', 'en', 'en', 'en', 'un', 'un', 'un', 'un', 'un', 'en', 'un', 'un', 'un', 'un']","['penang', 'food', 'rocks', '!', 'even', 'in', 'jakarta', '!', 'but', 'the menu', 'not', 'very', 'penang', 'le', '!', '#penangfood', '#penang', 'at', 'jakarta', ',', 'indonesia', 'https://t.co/LUtaWBfkeH']","['makanan penang keren ! bahkan di Jakarta ! tetapi menu tidak terlalu penang le ! #penangfood #penang di jakarta, indonesia https://t.co/LUtaWBfkeH', 'makanan penang keren ! bahkan di Jakarta ! tetapi menu tidak terlalu penang le ! #penangfood #penang di jakarta, indonesia https://t.co/LUtaWBfkeH']"
7,Babi fillet enak not bad lah tapi haram :(,BIIIOBIIIIIOBIIIOBIIOBIIOBIIOBIIIOBIIIIOBI,"['Babi fillet enak not bad lah tapi haram :('
 list(['Babi', 'fillet', 'enak', 'not', 'bad', 'lah', 'tapi', 'haram', ':('])]","['id', 'en', 'id', 'en', 'en', 'id', 'id', 'id', 'un']","['babi', 'fillet', 'enak', 'not', 'bad', 'lah', 'tapi', 'haram', ':(']","['babi fillet enak tidak buruk lah tapi haram :(', 'babi fillet enak tidak buruk lah tapi haram :(']"
8,@korantempo mungkin sama komen nya dia waktu dapet gelar santri trus gak lama jd ulama... it's not a good example definitely.,BIIIIIIIIIIOBIIIIIIOBIIIOBIIIIOIIIOBIIOBIIIIOBIIIIOBIIIIOBIIIIIOBIIIOBIIOBIIIOBIOBIIIIBOOOBIIIOBIIOBOBIIIOBIIIIIIOBIIIIIIIIIB,"[""@korantempo mungkin sama komen nya dia waktu dapet gelar santri trus gak lama jd ulama... it's not a good example definitely.""
 list(['@korantempo', 'mungkin', 'sama', 'komennya', 'dia', 'waktu', 'dapet', 'gelar', 'santri', 'trus', 'gak', 'lama', 'jd', 'ulama', '.', ""it's"", 'not', 'a', 'good', 'example', 'definitely', '.'])]","['un', 'id', 'id', 'id', 'id', 'id', 'id', 'id', 'id', 'id', 'id', 'id', 'id', 'id', 'un', 'en', 'en', 'en', 'en', 'en', 'en', 'un']","['@korantempo', 'mungkin', 'sama', 'komentarnya', 'dia', 'waktu', 'dapat', 'gelar', 'santri', 'terus', 'tidak', 'lama', 'jadi', 'ulama', '.', 'it is', 'not', 'a', 'good', 'example', 'definitely', '.']","['@korantempo mungkin sama komentar nya dia waktu dapat gelar santri terus tidak lama jadi ulama. itu bukan contoh yang baik pastinya.', '@korantempo mungkin sama komentar nya dia waktu dapat gelar santri terus tidak lama jadi ulama. itu bukan contoh yang baik pastinya.']"
9,"@irwangunadiart No....not like that.....kalau Anda sering hunting bareng, lalu sering baca koran, terasa mana foto setingan dan mana dari realita asli....",BIIIIIIIIIIIIIIOBIBOOOBIIOBIIIOBIIIBOOOOBIIIIOBIIIOBIIIIIOBIIIIIIOBIIIIIBOBIIIOBIIIIIOBIIIOBIIIIBOBIIIIIOBIIIOBIIIOBIIIIIIIOBIIOBIIIOBIIIOBIIIIIIOBIIIBOOO,"['@irwangunadiart No....not like that.....kalau Anda sering hunting bareng, lalu sering baca koran, terasa mana foto setingan dan mana dari realita asli....'
 list(['@irwangunadiart', 'No', '.', 'not', 'like', 'that', '.', 'kalau', 'Anda', 'sering', 'hunting', 'bareng', ',', 'lalu', 'sering', 'baca', 'koran', ',', 'terasa', 'mana', 'foto', 'setingan', 'dan', 'mana', 'dari', 'realita', 'asli', '.'])]","['un', 'en', 'un', 'en', 'en', 'en', 'un', 'id', 'en', 'id', 'en', 'id', 'un', 'id', 'id', 'id', 'id', 'un', 'id', 'id', 'id', 'en', 'id', 'id', 'id', 'id', 'id', 'un']","['@irwangunadiart', 'no', '.', 'not', 'like', 'that', '.', 'kalau', 'anda', 'sering', 'hunting', 'bersama', ',', 'lalu', 'sering', 'baca', 'koran', ',', 'terasa', 'mana', 'foto', 'setting', 'dan', 'mana', 'dari', 'realita', 'asli', '.']","['@irwangunadiart tidak. tidak seperti itu. kalau anda sering berburu bersama, lalu sering baca koran, terasa mana foto setting dan mana dari realita asli.', '@irwangunadiart tidak. tidak seperti itu. kalau anda sering berburu bersama, lalu sering baca koran, terasa mana foto setting dan mana dari realita asli.']"
10,Terus nyala tp bwt speedtest ajah ga bs server not found @FirstMediaCares jgn suruh saya beli leptop drmh hp cm 1 baca inbound dulu sebelum bales yah 10336740 https://t.co/pzj4aeaBan,BIIIIOBIIIIOBIOBIIOBIIIIIIIIOBIIIOBIOBIOBIIIIIOBIIOBIIIIOBIIIIIIIIIIIIIIIOBIIOBIIIIOBIIIOBIIIOBIIIIIOBBIIOBIOBIOBOBIIIOBIIIIIIOBIIIOBIIIIIIOBIIIIOBIIOBIIIIIIIOBIIIIIIIIIIIIIIIIIIIIII,"['Terus nyala tp bwt speedtest ajah ga bs server not found @FirstMediaCares jgn suruh saya beli leptop drmh hp cm 1 baca inbound dulu sebelum bales yah 10336740 https://t.co/pzj4aeaBan'
 list(['Terus', 'nyala', 'tp', 'bwt', 'speedtest', 'ajah', 'ga', 'bs', 'server', 'not', 'found', '@FirstMediaCares', 'jgn', 'suruh', 'saya', 'beli', 'leptop', 'd', 'rmh', 'hp', 'cm', '1', 'baca', 'inbound', 'dulu', 'sebelum', 'bales', 'yah', '10336740', 'https://t.co/pzj4aeaBan'])]","['id', 'id', 'id', 'id', 'en', 'id', 'id', 'id', 'en', 'en', 'en', 'un', 'id', 'id', 'id', 'id', 'id', 'id', 'id', 'en', 'id', 'un', 'id', 'en', 'id', 'id', 'id', 'id', 'un', 'un']","['terus', 'nyala', 'tapi', 'buat', 'speedtest', 'aja', 'tidak', 'bisa', 'server', 'not', 'found', '@FirstMediaCares', 'jangan', 'suruh', 'saya', 'beli', 'laptop', 'di', 'rumah', 'hp', 'cuma', '1', 'baca', 'inbound', 'dulu', 'sebelum', 'balas', 'ya', '10336740', 'https://t.co/pzj4aeaBan']","['terus nyala tapi buat test kecepatan aja tidak bisa server tidak ditemukan @FirstMediaCares janagn suruh saya beli laptop di rumah hp cuma 1 baca masuk dulu sebelum balas yah 10336740 https://t.co/pzj4aeaBan', 'terus nyala tapi buat test kecepatan aja tidak bisa server tidak ditemukan @FirstMediaCares jangan suruh saya beli laptop di rumah hp cuma 1 baca masuk dulu sebelum balas yah 10336740 https://t.co/pzj4aeaBan']"
